type,PC1,PC2,quality
red,-83.14435098,-9.032456896,5
red,-39.43899549,-7.556635601,6
red,34.9845951,-1.401264567,5
red,22.31738779,-4.227675428,6
red,-10.89869306,-11.58744733,5
red,-18.47596331,4.185679997,5
red,3.671647217,5.988961607,7
red,34.43917021,-3.603805403,6
red,-61.89527468,-3.287741251,5
red,30.85754451,-1.313935314,5
red,-37.80083821,-10.18386459,7
red,1.24646442,-1.682939488,6
red,30.7442809,-5.433775445,6
red,38.57730029,-3.668338224,7
red,38.57966889,-3.678828941,7
red,36.59940582,-4.134779511,5
red,33.67111542,-4.76534936,6
red,34.64895583,-4.541016298,5
red,24.27163405,-3.879727333,6
red,7.794181235,5.844436012,5
red,41.4924534,-3.015848919,4
red,5.090923039,4.191854126,6
red,18.17375958,-4.129192341,6
red,18.7657569,7.245951034,6
red,-1.239090501,4.945026516,5
red,-10.37066041,-9.387614026,5
red,25.75992011,-1.388324407,5
red,4.739308571,1.253976395,7
red,10.79639962,1.46738021,5
red,32.26159391,-3.016962269,5
red,9.821730503,1.259291867,5
red,40.51508055,-3.248889804,7
red,-2.055244683,18.09886764,8
red,22.30290765,5.060762274,6
red,39.32111392,-2.488521775,4
red,-4.982255974,17.35272231,3
red,-8.335875385,18.634261,4
red,23.28868168,5.184639342,5
red,-10.33258424,9.066057266,5
red,-56.20808838,8.231967647,7
red,19.93112737,-2.72616066,7
red,20.98749975,1.684237167,5
red,14.07522645,-4.021353192,7
red,14.38325958,8.413420095,5
red,-24.51385005,13.06548526,6
red,-42.59923069,-16.45002692,5
red,2.597639654,10.85468207,6
red,15.89392084,1.571614395,5
red,8.518241443,-2.12183593,6
red,15.34914593,-0.596803384,5
red,25.77181899,-1.442054082,5
red,-75.54796035,-6.318263641,5
red,-13.32292244,22.71956874,6
red,33.36911063,1.327176352,7
red,-0.145804911,0.068482445,7
red,14.30886597,4.179861964,7
red,22.52619056,4.064344272,6
red,-37.05819189,-9.083211201,5
red,-39.97696466,-9.674417495,6
red,23.26161236,-3.984053589,5
red,-36.50883233,-6.913704553,5
red,-38.24763732,-8.319677054,5
red,22.95297302,2.115703617,6
red,24.90834299,2.540812363,6
red,1.392447918,11.67249281,6
red,0.537978511,15.58832439,6
red,-3.474655953,19.82245736,5
red,-3.71294949,11.56690648,4
red,38.14743006,-1.763483203,7
red,38.155447,-1.78039073,7
red,32.06641065,-2.055706572,7
red,34.00857166,-1.603280122,4
red,-24.65781183,8.978144616,6
red,-40.63133097,-6.800419719,5
red,26.53780064,-0.244165658,5
red,8.561994291,16.32935323,6
red,20.79229797,2.640136802,6
red,17.95911943,-3.136477694,5
red,20.12793158,-3.686697536,6
red,-11.71159803,10.78010278,7
red,-20.19652168,12.06128973,6
red,-52.46310413,-4.348156386,5
red,-8.049088786,12.66279823,5
red,-38.24520889,-8.320851159,5
red,29.46612385,0.374639751,6
red,-40.41183541,-7.773684407,6
red,1.385818454,11.6818333,6
red,3.554628142,1.919022004,7
red,37.15091926,-1.954694283,3
red,8.963373172,-4.076204758,5
red,13.51837989,3.089530507,7
red,29.20898846,1.462807597,7
red,-66.34497903,-15.57840317,5
red,-29.56650809,-10.48607238,5
red,39.1045666,-1.47350091,6
red,-17.69551238,14.63950376,6
red,36.95138408,-0.959376624,6
red,37.81346736,-4.872493509,6
red,39.70783671,-4.447974248,6
red,40.53258226,-3.284244757,6
red,38.77737339,-4.670200671,7
red,42.69631764,-3.807072932,6
red,-12.8687754,-11.88930531,5
red,-0.410569099,10.30143663,6
red,-34.83416558,8.795644596,6
red,-3.890652485,21.76026672,6
red,24.58544641,-0.671182985,5
red,18.84143794,2.190321688,5
red,-37.39384219,29.72181167,7
red,-33.27668452,29.57882808,6
red,-26.42387498,-10.87146984,4
red,28.48836482,0.234984069,7
red,23.04858674,-2.988253886,5
red,9.277472009,-0.930619365,5
red,-21.50633426,8.657708576,6
red,-25.19572464,-2.386440669,6
red,22.53640763,-5.280135488,4
red,3.233868,8.022790395,7
red,36.94121727,-0.933848752,5
red,22.00077337,1.854460333,7
red,30.65299668,-0.323215923,7
red,-4.381940312,-3.996188526,7
red,3.097621223,-5.418486077,7
red,23.38498311,0.147792587,7
red,28.17004585,-2.9607726,7
red,23.39270092,0.106205808,7
red,36.19440824,-2.155749951,7
red,26.54802495,-0.206907557,7
red,38.13802242,-1.739837037,7
red,39.34793229,-2.532589113,7
red,37.16073074,-1.925293059,6
red,24.79679705,-1.626267927,5
red,38.35914217,-2.732948158,6
red,-3.181528463,-4.731236448,6
red,8.651601196,11.2585936,7
red,15.35646264,-0.62710838,5
red,8.217892567,3.943554112,6
